LD,Velocity (km/s),a (degrees),$ (degrees),DI
2,2.15,75,60,0.59224
2,2.15,75,45,0.7497
2,2.15,75,30,0.88983
2,2.15,75,15,0.94838
2,2.15,60,60,0.58917
2,2.15,60,45,0.78182
2,2.15,60,30,0.90786
2,2.15,60,15,0.9525
2,2.15,45,60,0.59289
2,2.15,45,45,0.77504
2,2.15,45,30,0.91418
2,2.15,45,15,0.99869
2,2.15,30,60,0.62036
2,2.15,30,45,0.77519
2,2.15,30,30,0.91315
2,2.15,30,15,0.99735
2,2.15,15,60,0.59787
2,2.15,15,45,0.79857
2,2.15,15,30,0.92154
2,2.15,15,15,1.00031
2,2.15,0,60,0.58282
2,2.15,0,45,0.78395
2,2.15,0,30,0.94688
2,2.15,0,15,1.00895
2,2.15,-15,60,0.57627
2,2.15,-15,45,0.76215
2,2.15,-15,30,0.91287
2,2.15,-15,15,0.99439
2,2.15,-30,60,0.54167
2,2.15,-30,45,0.73002
2,2.15,-30,30,0.86107
2,2.15,-30,15,0.98888
2,2.15,-45,60,0.55269
2,2.15,-45,45,0.71493
2,2.15,-45,30,0.86315
2,2.15,-45,15,0.97062
2,2.15,-60,60,0.53598
2,2.15,-60,45,0.74105
2,2.15,-60,30,0.87564
2,2.15,-60,15,0.95891
2,2.15,-75,60,0.54184
2,2.15,-75,45,0.74177
2,2.15,-75,30,0.88416
2,2.15,-75,15,0.9732
2,2.15,-90,60,0.58758
2,2.15,-90,45,0.74793
2,2.15,-90,30,0.85507
2,2.15,-90,15,0.92311
4,0.25,90,60,0.00143
4,0.25,90,45,0.00766
4,0.25,90,30,0.01312
4,0.25,90,15,0.01763
4,0.25,75,60,0.00234
4,0.25,75,45,0.00693
4,0.25,75,30,0.01235
4,0.25,75,15,0.01695
4,0.25,60,60,0.00434
4,0.25,60,45,0.00915
4,0.25,60,30,0.01328
4,0.25,60,15,0.01774
4,0.25,45,60,0.00555
4,0.25,45,45,0.01252
4,0.25,45,30,0.01963
4,0.25,45,15,0.02208
4,0.25,30,60,0.00292
4,0.25,30,45,0.01023
4,0.25,30,30,0.02486
4,0.25,30,15,0.02811
4,0.25,15,60,0.00227
4,0.25,15,45,0.00641
4,0.25,15,30,0.01911
4,0.25,15,15,0.03086
4,0.25,0,60,0.00419
4,0.25,0,45,0.00769
4,0.25,0,30,0.0156
4,0.25,0,15,0.02688
4,0.25,-15,60,0.00288
4,0.25,-15,45,0.00922
4,0.25,-15,30,0.01748
4,0.25,-15,15,0.02335
4,0.25,-30,60,0.00268
4,0.25,-30,45,0.00851
4,0.25,-30,30,0.01847
4,0.25,-30,15,0.02288
4,0.25,-45,60,0.00247
4,0.25,-45,45,0.00634
4,0.25,-45,30,0.01403
4,0.25,-45,15,0.01938
4,0.25,-60,60,0.00227
4,0.25,-60,45,0.00556
4,0.25,-60,30,0.01271
4,0.25,-60,15,0.01823
4,0.25,-75,60,0.00253
4,0.25,-75,45,0.00637
4,0.25,-75,30,0.01255
4,0.25,-75,15,0.01707
4,0.25,-90,60,0.00143
4,0.25,-90,45,0.00766
4,0.25,-90,30,0.01312
4,0.25,-90,15,0.01763
4,0.5,90,60,0.05142
4,0.5,90,45,0.091
4,0.5,90,30,0.10755
4,0.5,90,15,0.11392
4,0.5,75,60,0.0558
4,0.5,75,45,0.10544
4,0.5,75,30,0.11814
4,0.5,75,15,0.12614
4,0.5,60,60,0.07246
4,0.5,60,45,0.11757
4,0.5,60,30,0.12853
4,0.5,60,15,0.13417
4,0.5,45,60,0.07668
